(-5.140976270846526, 2.0933575973903267)
(-4.171859448982336, 2.093396823787899)
(-4.64217543022502, 2.092655017494971)
(-5.12244256156071, 2.0914747109256058)
(-5.100017781180158, 2.0930956397030474)
(-4.675556674097984, 2.093778154277757)
(-4.1955998011736755, 2.0928927907863866)
(-5.564042610649044, 2.0903955494348354)
(-4.528811575550872, 2.092006530620205)
(-4.069925903594034, 2.0960214679703064)
(-5.309772293934059, 2.0867158565665553)
(-4.601847313082445, 2.0933241253112045)
(-5.011214859485163, 2.09482601692682)
(-6.016002678650697, 2.086449621336331)
(-4.981176786786697, 2.0917737527176192)
(-5.0486670027143905, 2.094821065222606)
(-6.548560663473695, 2.0822926232836165)
(-5.119571639339897, 2.094692794689543)
(-5.054759451506538, 2.0952583919476835)
(-6.208117212015659, 2.0828565217695907)
(-6.216197904199861, 2.0891382851785343)
(-6.488560181315805, 2.090598195793143)
(-6.851193162498539, 2.0824944897240756)
(-5.392262658478631, 2.0928247333772636)
(-6.345741723975624, 2.0887503388221704)
(-6.75155672555966, 2.0832427880018414)
(-6.544168915786467, 2.0861337690331125)
(-6.866852948575203, 2.086690701902466)
(-7.664006122275488, 2.081142029676976)
(-7.545711181375163, 2.0859839351465075)
(-6.959546989444674, 2.087923848329894)
(-6.716410863700442, 2.0833017270670635)
(-6.2435489647674745, 2.086052124120852)
(-5.893699047990133, 2.087428880322339)
(-5.802458023121974, 2.0844708900131113)
(-6.187852250393282, 2.0848653873489345)
(-5.0769272364095155, 2.089732392456194)
(-5.588380082053323, 2.0847599675709736)
(-5.3655568077907025, 2.0871992813639637)
(-4.9029695553715875, 2.089032917960332)
(-4.7254182359309755, 2.0863567437738735)
(-5.3053981983342, 2.0856222317257123)
(-4.954028400426348, 2.0894606919237804)
(-4.769601153441479, 2.087567117976699)
(-4.8676661008365985, 2.0882126815580824)
(-4.881171175464093, 2.0884334364657016)
(-4.789793696668787, 2.088033925641205)
(-4.861683215611243, 2.088031530251982)
(-4.878668095055708, 2.088333610205567)
(-5.586069965470867, 2.086627275267134)
(-4.669481299763344, 2.08892537198486)
